brokered_by,status,price,bed,bath,acre_lot,street,city
103378,for_sale,105000,3,2,0.12,1962661,Adjuntas
52707,for_sale,80000,4,2,0.08,1902874,Adjuntas
103379,for_sale,67000,2,1,0.15,1404990,Juana Diaz
31239,for_sale,145000,4,2,0.1,1947675,Ponce
34632,for_sale,65000,6,2,0.05,331151,Mayaguez
103378,for_sale,179000,4,3,0.46,1850806,San Sebastian

